Product Name,Product URL,Image URL,Old Price,Deal Price,Rating,Number of Ratings,Delivery Date
Marshall Minor II Bluetooth in-Ear Headphone (White),https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A0707777P1F7WSJYM5F6&url=%2FMarshall-Minor-Bluetooth-Headphone-White%2Fdp%2FB07J2Q4ZJ7%2Fref%3Dsr_1_13_sspa%3Fdchild%3D1%26linkCode%3Dsl2%26linkId%3Db0a5474764fa7adc602560fc3ecab951%26qid%3D1619737904%26rnid%3D1388921031%26s%3Delectronics%26sr%3D1-13-spons%26psc%3D1&qualifier=1619737904&id=5382674545843504&widgetName=sp_mtf_browse,https://m.media-amazon.com/images/I/41cA7VQpv-L._AC_UL320_.jpg,"₹10,999","₹8,999",3.6,"1,499",
AIWA AT-X80E(White) True Wireless Stereo Earphone with Mic,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A077155826UD5BBR31SUV&url=%2FAT-X80E-White-Wireless-Stereo-Earphone%2Fdp%2FB0912394X7%2Fref%3Dsr_1_14_sspa%3Fdchild%3D1%26linkCode%3Dsl2%26linkId%3Db0a5474764fa7adc602560fc3ecab951%26qid%3D1619737904%26rnid%3D1388921031%26s%3Delectronics%26sr%3D1-14-spons%26psc%3D1&qualifier=1619737904&id=5382674545843504&widgetName=sp_mtf_browse,https://m.media-amazon.com/images/I/61v8FG83l2L._AC_UL320_.jpg,"₹3,350","₹1,999",1.0,2,30/04/2021
Marshall 4090939 Mode in-Ear Headphones (Black/White),https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_electronics_sr_pg1_1?ie=UTF8&adId=A08570852HWXGBA98QLTO&url=%2FMarshall-4090939-Headphones-Black-White%2Fdp%2FB00OHVZTTK%2Fref%3Dsr_1_15_sspa%3Fdchild%3D1%26linkCode%3Dsl2%26linkId%3Db0a5474764fa7adc602560fc3ecab951%26qid%3D1619737904%26rnid%3D1388921031%26s%3Delectronics%26sr%3D1-15-spons%26psc%3D1&qualifier=1619737904&id=5382674545843504&widgetName=sp_mtf_browse,https://m.media-amazon.com/images/I/61051v0pd5L._AC_UL320_.jpg,"₹4,499","₹2,774",4.0,881,30/04/2021
OnePlus Buds Z (White),https://www.amazon.in/OnePlus-Buds-Z-White/dp/B07XY541GH/ref=sr_1_16?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-16,https://m.media-amazon.com/images/I/51vwQzwM+ZL._AC_UL320_.jpg,"₹3,190","₹2,999",4.2,"16,215",30/04/2021
boAt Bassheads 102 in Ear Wired Earphones with Mic(Charcoal Black),https://www.amazon.in/BassHeads-102-Earphones-Multi-Function-Microphone/dp/B07S8PSW59/ref=sr_1_17?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-17,https://m.media-amazon.com/images/I/51fMwaNRSJL._AC_UL320_.jpg,"₹1,290",₹399,4.2,"20,891",30/04/2021
boAt Bassheads 225 in Ear Wired Earphones with Mic(Black),https://www.amazon.in/BassHeads-225-Super-Extra-Headphones/dp/B01M9C51T9/ref=sr_1_18?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-18,https://m.media-amazon.com/images/I/61iSV4o+X-L._AC_UL320_.jpg,₹999,₹549,4.0,"146,522",01/05/2021
boAt Airdopes 171 Bluetooth Truly Wireless Earbuds with Mic(Active Black),https://www.amazon.in/Boat-Airdopes-171-Functionality-Resistance/dp/B086WNLYT8/ref=sr_1_19?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&smid=A14CZOWI0VEHLG&sr=1-19,https://m.media-amazon.com/images/I/61VlCNlUkFL._AC_UL320_.jpg,"₹5,999","₹1,499",3.9,"12,626",30/04/2021
Boult Audio BassBuds X1 in-Ear Wired Earphones with 10mm Extra Bass Driver and HD Sound with mic(Blue),https://www.amazon.in/Boult-Audio-BassBuds-X1-Earphones/dp/B08CPLTK9B/ref=sr_1_20?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-20,https://m.media-amazon.com/images/I/71smmo97yWL._AC_UL320_.jpg,₹999,₹299,4.0,"24,798",30/04/2021
OnePlus Bullets Wireless Z Bass Edition (Bass Blue),https://www.amazon.in/OnePlus-Bullets-Wireless-Bass-Blue/dp/B08HLSW3Y9/ref=sr_1_21?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-21,https://m.media-amazon.com/images/I/61FIXrKNH5L._AC_UL320_.jpg,"₹2,190","₹1,999",4.3,"102,235",30/04/2021
boAt Airdopes 171 Bluetooth Truly Wireless Earbuds with Mic(Mysterious Blue),https://www.amazon.in/Boat-Airdopes-171-Functionality-Resistance/dp/B086WMSCN3/ref=sr_1_22?dchild=1&linkCode=sl2&linkId=b0a5474764fa7adc602560fc3ecab951&qid=1619737904&rnid=1388921031&s=electronics&sr=1-22,https://m.media-amazon.com/images/I/71NDJQ7CGbL._AC_UL320_.jpg,"₹5,999","₹1,499",3.9,"12,626",30/04/2021
